Distance_from_Start_m,ATE_m,Seconds_from_Start
0.0,13.011588317906911,0.0
0.00936375992857578,12.746319541783274,0.029999971389770508
0.0217754479684839,12.70510862693117,0.07000017166137695
0.03077822531772452,12.393000403855698,0.10000014305114746
0.0397509618010947,12.394854298839682,0.13010001182556152
0.051650961801094686,12.04295721704094,0.1700000762939453
0.060321025238002146,12.062305342786614,0.20000004768371582
0.0689064780507547,11.746620727785926,0.23000001907348633
0.08082704850690312,11.803633911638487,0.26999998092651367
0.08965314617234961,11.428102150030064,0.3000001907348633
0.09855595471797156,11.35881390389787,0.3300001621246338
0.11047652517412015,10.91331871167137,0.37000012397766113
0.11995966811304085,10.92342010087276,0.40000009536743164
0.12942592397267189,10.516234192296176,0.43000006675720215
0.14200964361354124,10.678268693914298,0.4700000286102295
0.15153592305517,10.174748678518688,0.5
0.16111611094476805,10.361879572644186,0.5299999713897705
0.17358166347965384,9.767052024929793,0.570000171661377
0.1831514074678701,9.94539399587365,0.6000001430511475
0.19214751773842587,9.525032703122145,0.630000114440918
0.2047498984658915,9.528134706716822,0.6700000762939453
0.2138306473336888,9.207549402593868,0.7000000476837158
0.2224862813370418,9.169755962961762,0.7300000190734863
0.23406082236465908,8.878996618083791,0.7699999809265137
0.2422863922537308,8.709509466736575,0.8000001907348633
0.2503044967678912,8.485462247772261,0.8300001621246338
0.26030349671788616,8.293285060209344,0.8700001239776611
0.26744072306990824,8.125144576698373,0.9000000953674316
0.2742134625451871,7.840135211993763,0.9300999641418457
0.2824536081749682,7.66750044779479,0.9700000286102295
0.28794086614229575,7.378246956104344,1.0
0.2923054967108548,7.240537673635619,1.0301001071929932
0.29543119663247247,6.879822635282319,1.070000171661377
0.2963086930712116,7.000755930094044,1.1000001430511475
0.2972086930712115,6.591814087510203,1.130000114440918
0.30053885823228077,6.7287657901692635,1.1700000762939453
0.3048295458228659,6.222394232582232,1.2000000476837158
0.31049170088962263,6.383161383316032,1.2300000190734863
0.32031565121523015,5.955567386600784,1.2702000141143799
0.32865231721549654,6.195205033826085,1.3000001907348633
0.3419801077300567,5.670799556276769,1.3400001525878906
0.3523212875466927,5.9547556376362705,1.3700001239776611
0.3639673169129617,5.445784223899947,1.4000000953674316
0.3800508488633761,5.88622275798414,1.440000057220459
0.39218550996288765,5.3065301214180645,1.4700000286102295
0.40496400752715556,5.786220330645565,1.5
0.4214712786523295,5.167490876017675,1.5400002002716064
0.4335630113652205,5.490857779814317,1.5699000358581543
0.44541290587951904,4.880133904828492,1.6000001430511475
0.4609840330063522,5.363214334936253,1.6398999691009521
0.4722468035358445,4.689795116590076,1.6700000762939453
0.48340520843977225,5.066174173962716,1.7000000476837158
0.4982359198185294,4.318420395223851,1.7399001121520996
0.5094893637358378,4.9014967803297695,1.7699999809265137
0.5203691615280761,4.076871004783849,1.8001000881195068
0.5313409435164315,4.615803514955483,1.8300001621246338
0.5460959426692611,4.216605796739142,1.8700001239776611
0.5569167559473841,4.5994654998221645,1.9000000953674316
0.571416755947384,4.298194457689466,1.940000057220459
0.5817191828459357,4.360906111925918,1.9700000286102295
0.5919982878653428,4.073520381387616,2.0
0.6043404918824541,4.292423833535544,2.0400002002716064
0.6136017013067139,4.003232110725647,2.070000171661377
0.6224701848298424,4.116866469435261,2.1000001430511475
0.6335665806410958,4.2424549574982775,2.140000104904175
0.641659787669215,4.156806104735904,2.1700000762939453
0.6497770532186472,4.283679683132967,2.1999001502990723
0.6604400734287004,4.084636935604097,2.240100145339966
0.6689823213764011,4.331412725789093,2.2699999809265137
0.6774138099756939,4.153070374890274,2.3000001907348633
0.6890194120712336,4.255141203532189,2.339900016784668
0.6986474959927624,4.077107793532183,2.3698999881744385
0.7081248373921213,4.082117704045776,2.399900197982788
0.7220104414481211,4.035426235578483,2.4399001598358154
0.7322851677218475,4.161299088968621,2.4700000286102295
0.7419918664397431,3.9335279630334883,2.5
0.7514115267308578,4.160870722407625,2.5299999713897705
0.7635296949092583,3.898679907872522,2.570000171661377
0.7720291066536086,4.0922775159666,2.6000001430511475
0.7832496235757475,3.93582966154618,2.639899969100952
0.7916257802122961,4.067512993111786,2.6700000762939453
0.7992997622294761,3.920080695657266,2.6999001502990723
0.8095144575259593,4.086532008544759,2.740000009536743
0.8142102002787089,3.9164441894092694,2.7599000930786133
0.8239621231660169,3.9848248568233404,2.7999000549316406
0.8334452661049374,3.8803274477223573,2.8400001525878906
0.8396525199260728,3.7273968853435386,2.870000123977661
0.8453542740421321,3.721351732289698,2.899900197982788
0.8510542740421323,3.641578842171961,2.9399001598358154
0.8535321763808051,3.7686100640854954,2.9700000286102295
0.8551874709165297,3.5889927653235225,2.9999001026153564
0.8562072748192484,3.7108636900042598,3.039900064468384
0.8580538933505104,3.5465249939240207,3.0699000358581543
0.8606053635149449,3.6366119798609873,3.099900007247925
0.8646290434226911,3.585575381034497,3.140000104904175
0.8688940170451184,3.6286065248314348,3.1700000762939453
0.8744166975537119,3.51264215221866,3.1999001502990723
0.8824248184319204,3.5144791447694526,3.2399001121520996
0.8891203393227847,3.404712691245725,3.26990008354187
0.8966608963313882,3.482176803299801,3.2999000549316406
0.9045030899020674,3.2586946551011375,3.330000162124634
0.9150889295003232,3.4789392132136534,3.3698999881744385
0.9234381809637779,3.3360223299518545,3.399900197982788
0.9319075374918738,3.499920054974993,3.4299001693725586
0.9435852941257483,3.2281611049138763,3.469900131225586
0.9525502258042386,3.4119301836327125,3.4999001026153564
0.9616067151903087,3.1374393885585925,3.529900074005127
0.9744020268316875,3.4655596394658823,3.570000171661377
